bản câu hỏi điều tra tư cách một cá nhân,40,B,14.0,2, B,25.0,1, B
giấy chứng nhận mua cổ phần,27,B,10.0,1, B,6.0,1, B
máy bay nặng hơn không khí,26,B,6.0,1, B,12.714285714285714,7, B
sự sáng tác nghệ thuật,22,B,7.0,1, B,12.23076923076923,13,A B
cuộc tấn công bất ngờ,21,B,12.0,1, B,12.0,3, B
sự phác họa chân dung,21,B,18.0,1, B,9.0,1, B
ổ cắm chìm ở tường,18,B,10.0,1, B,8.0,1, B
dân cư của thị xã,17,B,12.0,1, B,10.0,1, B
khoáng chất rắn corundom,24,B,6.0,1,A ,8.333333333333334,3, B
giao tiếp bằng miệng,20,B,20.0,1, B,7.909090909090909,11,A B
người có nhiệt tình,19,B,10.0,1, B,14.714285714285714,7, B
chứng giảm bạch cầu,19,B,9.0,1, B,7.0,1, B
tình trạng xám xịt,18,B,9.0,1, B,11.0,2, B
cơ quan công quyền,18,B,4.0,1,A ,19.0,1, B
toán học ứng dụng,17,B,7.0,1, B,15.333333333333334,3, B
khu vực hành quân,17,B,7.0,1, B,13.0,2, B
người mua bán vải,17,B,5.0,1, B,11.0,1, B
năng lực phóng xạ,17,B,16.0,1, B,8.0,1, B
trầm cảm lâm sàng,17,B,13.0,1, B,14.88888888888889,9, B
sự đầy sinh lực,15,B,6.0,1, B,8.0,1, B
phụ nữ gian dâm,15,B,7.0,2, B,8.0,1, B
bệnh đau mắt đỏ,15,B,8.0,1, B,7.0,1, B
khí làm cay mắt,15,B,7.0,2,A B,21.333333333333332,3,A B
khoản tiền thưởng,17,B,13.0,1, B,15.333333333333334,3,A B
giao tiếp thoại,15,B,20.0,1, B,7.909090909090909,11,A B
khoảng đất rộng,15,B,11.0,1, B,9.384615384615385,39,A B
tình trạng căng,15,B,4.0,1,A ,20.0,1, B
tính nguyên vẹn,15,B,9.0,1, B,7.0,2, B
ngành xuất bản,14,B,17.0,1, B,13.5,4, B
vật chắn đường,14,B,5.0,1, B,15.0,2, B
lính chữa cháy,14,B,8.0,1, B,17.0,2, B
cuộc xung đột,13,B,9.0,1, B,9.0,3, B
cuộc đột kích,13,B,12.0,1, B,12.0,3, B
trận đột kích,13,B,7.0,1, B,12.0,2, B
động vật nuôi,13,B,6.0,1, B,7.833333333333333,6,A B
máy thu thanh,13,B,10.0,1, B,12.25,4, B
hệ thống nhận,13,B,10.0,1, B,12.25,4, B
băng bằng vải,13,B,4.0,1,A ,9.666666666666666,3, B
tính hiện tại,13,B,8.0,1, B,8.0,1, B
luật tự nhiên,13,B,7.0,1, B,9.333333333333334,3, B
sự khuyên nhủ,13,B,9.0,1, B,11.0,1, B
ngôn ngữ chad,13,B,9.0,1, B,16.75,4, B
nhóm sinh học,13,B,4.0,1,A ,11.875,8,A B
bên nhận thầu,13,B,7.0,1, B,18.0,1, B
người mất trí,13,B,9.0,1, B,15.0,4, B
người dập lửa,13,B,8.0,1, B,17.0,2, B
người bơi lội,13,B,7.0,1, B,9.0,3, B
chất dính kết,13,B,7.0,1, B,9.0,6,A B
cơn cuồng nộ,12,B,10.0,1, B,9.0,1, B
chi lưỡng cư,12,B,3.0,1,A ,15.275,40,A B
sự áng chừng,12,B,4.0,1,A ,12.5,6, B
tranh đồ họa,12,B,17.0,1, B,10.0,2, B
nữ thuỷ thần,12,B,23.0,1, B,10.0,2, B
tính mở rộng,12,B,9.0,1, B,5.5,2,A B
lỗi khó coi,11,B,3.0,1,A ,9.6,10, B
sự tăng dần,11,B,7.0,1, B,2.0,1,A 
sự tham gia,11,B,12.0,1, B,9.666666666666666,3, B
lớp sơn nền,11,B,7.0,1, B,9.0,1, B
tính nỗ lực,11,B,8.0,1, B,10.6,5, B
hệ thực vật,11,B,5.0,1, B,6.4,10,A B
cha hoặc mẹ,11,B,9.0,1, B,6.833333333333333,6,A B
sự chín đến,11,B,13.0,1, B,6.0,1, B
kém may mắn,11,B,8.0,1, B,7.25,4, B
sự tố tụng,10,B,12.0,1, B,11.857142857142858,7, B
sự lịch sự,10,B,6.0,1, B,9.0,6, B
sự bồi đắp,10,B,9.0,1, B,4.666666666666667,3,A B
thanh gươm,10,B,8.0,1, B,8.571428571428571,7,A B
người ngốc,10,B,10.0,1, B,11.333333333333334,3, B
nghỉ ngơi,9,B,13.0,1, B,12.6,5, B
thuốc cầm,9,B,11.0,1, B,4.0,1,A 
linh kiện,9,B,4.0,1,A ,9.375,16,A B
đài gương,9,B,5.0,1, B,5.0,1, B
giảm bớt,8,B,8.0,1, B,8.333333333333334,6,A B
ước tính,8,B,4.0,1,A ,12.5,6, B
ống tháo,8,B,11.0,1, B,17.0,1, B
rãnh đào,8,B,5.0,1,A ,9.0,1, B
vùng nhớ,8,B,12.0,1, B,8.5,2, B
cai ngục,8,B,16.0,1, B,9.0,1, B
mệnh vận,8,B,9.0,1, B,10.0,1, B
vết sưng,8,B,6.0,1, B,4.0,1,A 
ngói vụn,8,B,6.0,1, B,7.333333333333333,3, B
bị loại,7,B,7.0,1, B,16.0,2, B
biệt xứ,7,B,5.0,1, B,11.285714285714286,7, B
hạ nhục,7,B,5.0,1, B,4.0,1,A 
chạy bộ,7,B,6.0,1, B,7.0,1, B
con don,7,B,21.0,1, B,13.8,5, B
vị tạng,7,B,7.0,1, B,7.2,5,A B
dự tính,7,B,4.0,1,A ,12.5,6, B
nói bịa,7,B,9.0,1, B,10.0,1, B
nói lái,7,B,8.0,1, B,13.0,6, B
may mắn,7,B,8.0,1, B,9.0,2, B
nổ mìn,6,B,4.0,1, B,7.0,1, B
đi-ốt,5,A,13.0,1, B,13.0,1, B
haloankan,9,A,12.0,1, B,12.0,1, B
hoạn,4,A,10.0,1, B,9.5,2,A B
điển,4,A,7.0,1, B,10.75,8, B
đèo,3,A,4.0,1,A ,7.0,3,A B
của,3,A,3.0,1,A ,10.818181818181818,22, B
sĩ,2,A,11.0,1, B,12.90625,32,A B
xứ,2,A,4.0,1,A ,8.696969696969697,33,A B
